Game,Designers,Artists,Publisher
Tyrants of the Underdark,"['Peter Lee', 'Rodney Thompson', 'Andrew Veen']",['Steve Ellis (I)'],"Gale Force Nine, LLC"
Telestrations,['(Uncredited)'],['(Uncredited)'],Användbart Litet Företag
Hanamikoji,['Kota Nakayama (中山 宏太)'],['Maisherly'],EmperorS4
Endeavor,"['Carl de Visser', 'Jarratt Gray']","['Josh Cappel', 'Klemens Franz', 'Hanno Girke']","Z-Man Games, Inc."
Claustrophobia,['Croc'],"['Bertrand Benoit', 'Aleksi Briclot', 'Stéphane Gantiez']",Asmodee
Takenoko,['Antoine Bauza'],"['Nicolas Fructus', 'Picksel', 'Yuio']",Bombyx
Blood Bowl: Living Rulebook,['Jervis Johnson'],"['Carl Critchlow', 'Wayne England', 'David Gallagher', 'Pete Knifton', 'Richard Wright']",(Web published)
Tiny Epic Galaxies,['Scott Almes'],"['William Bricker', 'Benjamin Shulman']",Gamelyn Games
Cthulhu Wars,"['Sandy Petersen', 'Lincoln Petersen']","['Kev Adams', 'Ian Brumby', 'Jo Brumby', 'Chaz Elliott']",Petersen Games
Pulsar 2849,['Vladimír Suchý'],['Sören Meding'],Czech Games Edition
Notre Dame,['Stefan Feld'],['Harald Lieske'],alea
Love Letter,['Seiji Kanai'],"['Kali Fitzgerald', 'Andrew Hepworth', 'Jeff Himmelman', 'John Kovalic']",Alderac Entertainment Group
Clash of Cultures,['Christian Marcussen'],['Chris Quilliams'],Filosofia Éditions
In the Year of the Dragon,['Stefan Feld'],"['Harald Lieske', 'Michael Menzel']",alea
Dune,"['Bill Eberle', 'Jack Kittredge', 'Peter Olotka']","['Jean Baer', 'Linda Bound', 'Fabrice Lamy', 'Christophe Peulvast']",The Avalon Hill Game Co
Advanced Squad Leader,['Don Greenwood'],"['Nicolás Eskubi', 'Charles Kibler', 'Rodger B. MacGowan']",The Avalon Hill Game Co
The Manhattan Project,['Brandon Tibbetts'],"['Viktor Csete', 'Clay Gardner', 'Sergi Marcet']",Minion Games
Mice and Mystics,['Jerry Hawthorne'],"['JJ Ariosa', 'Chad Hoverter', 'David Richards']",Plaid Hat Games
Codenames: Pictures,['Vlaada Chvátil'],"['David Cochard', 'Jana Kilianová', 'Tomáš Kučerovský', 'Filip Neduk', 'Michal Suchánek']",Czech Games Edition
San Juan,['Andreas Seyfarth'],['Franz Vohwinkel'],alea
Civilization,['Francis Tresham'],"['Ed Dovey', 'Charles Kibler', 'Rodger B. MacGowan', 'Guillaume Rohmer', 'Dale Sheaffer']",Hartland Trefoil Ltd.
Survive: Escape from Atlantis!,['Julian Courtland-Smith'],"['David Ausloos', 'Julian Courtland-Smith', 'Jean Brice Dugait', 'Stéphane Gantiez', 'Andrew White']",Parker Brothers
The Pillars of the Earth,"['Michael Rieneck', 'Stefan Stadler']","['Michael Menzel', 'Anke Pohl', 'Thilo Rick']",KOSMOS
BattleCON: Devastation of Indines,"['D. Brad Talton, Jr.']","['Fábio Fontes', 'Danny Hirajeta', 'Victoria Parker', 'Eunice Abigael Tiu']",Level 99 Games
Space Hulk (third edition),['Richard Halliwell'],"['John Blanche', 'Alex Boyd', 'Robin Carey', 'Paul Dainton']",Games Workshop Ltd.
Saint Petersburg,['Bernd Brunnhofer'],['Doris Matthäus'],Hans im Glück
King of Tokyo,['Richard Garfield'],"['Gabriel Butik', 'Romain Gaschet', 'Igor Polouchine', 'Benjamin Raynal']",IELLO
Lords of Hellas,['Adam Kwapiński'],['Piotr Gacek'],Awaken Realms
At the Gates of Loyang,['Uwe Rosenberg'],"['Klemens Franz', 'Scott Hartman']",Hall Games
Ticket to Ride: Märklin,['Alan R. Moon'],"['Cyrille Daujean', 'Julien Delval']",Days of Wonder
Nippon,"['Nuno Bizarro Sentieiro', 'Paulo Soledade']",['Mariano Iannelli'],What's Your Game?
The Quest for El Dorado,['Reiner Knizia'],['Franz Vohwinkel'],Ravensburger Spieleverlag GmbH
Blood Bowl: Team Manager – The Card Game,['Jason Little'],"['Erfian Asafat', 'Daren Bader', 'Dimitri Bielak', 'Yoann Boissonnet']",Fantasy Flight Games
Nemesis,['Adam Kwapiński'],"['Piotr Foksowicz', 'Ewa Labak', 'Patryk Jędraszek', 'Paweł Samborski']",Awaken Realms
Bruxelles 1893,['Etienne Espreman'],['Alexandre Roche'],Pearl Games
The Quacks of Quedlinburg,['Wolfgang Warsch'],"['Dennis Lohausen', 'Wolfgang Warsch']",Schmidt Spiele
Macao,['Stefan Feld'],"['Julien Delval', 'Harald Lieske']",alea
Century: Golem Edition,['Emerson Matsuuchi'],"['Justin Chan', 'Chris Quilliams', 'Fernanda Suárez']",Plan B Games
Arkham Horror,"['Richard Launius', 'Kevin Wilson']","['Anders Finér', 'Rafał Hrynkiewicz', 'Henning Ludvigsen', 'Patrick McEvoy']",Fantasy Flight Games
Aeon's End: War Eternal,['Kevin Riley'],"['Gong Studios', 'Stephanie Gustafsson', 'Scott Hartman', 'Daniel Solis']",Action Phase Games
Risk Legacy,"['Rob Daviau', 'Chris Dupuis']","['Richard Edwards', 'Jason Taylor']",Hasbro
Arboretum,['Dan Cassar'],"['Philippe Guérin', 'Chris Quilliams', 'Beth Sobel', 'Waldo Ramirez']",Filosofia Éditions
Fresco,"['Wolfgang Panning', 'Marco Ruskowski', 'Marcel Süßelbeck']",['Oliver Schlemmer'],Queen Games
Harry Potter: Hogwarts Battle,"['Forrest-Pruzan Creative', 'Kami Mandell', 'Andrew Wolf']",['Joe Van Wetering'],Asmodee
A Few Acres of Snow,['Martin Wallace'],['Peter Dennis'],Treefrog Games
For Sale,['Stefan Dorra'],"['Óscar Aguado', 'Alvin Madden', 'Catell Ruz', 'Uros Vuckovic', 'Klaus Wilinski']",Albi
Lancaster,['Matthias Cramer'],"['Martin Hoffmann', 'Claus Stephan']",Queen Games
Maria,['Richard Sivél'],"['Hans Baltzer', 'Richard Shako', 'Richard Stubenvoll', 'Andreas Töpfer']",Histogame
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,"['Suzanne Goldberg', 'Gary Grady', 'Jérôme Ropert']","['Bernard Bittler', 'Arnaud Demaegd', 'Neriac', 'Pascal Quidault']",Asmodee
51st State: Master Set,['Ignacy Trzewiczek'],['Grzegorz Bobrowski'],Portal Games
Flash Point: Fire Rescue,['Kevin Lanzing'],"['Luis Francisco', 'George Patsouras']",Indie Boards & Cards
San Juan (Second Edition),['Andreas Seyfarth'],"['Harald Lieske', 'Mia Steingräber']",alea
Glen More,['Matthias Cramer'],"['Loïc Billiau', 'Harald Lieske']",alea
Quadropolis,['François Gandon'],"['Cyrille Daujean', 'Sabrina Miramon']",Days of Wonder
BattleLore,['Richard Borg'],"['Miguel Coimbra', 'Cyrille Daujean', 'Julien Delval', 'Nicolas Fructus', 'Christophe Madura']",Days of Wonder
Millennium Blades,"['D. Brad Talton, Jr.']",['Fábio Fontes'],Level 99 Games
Lord of the Rings: The Confrontation,"['Reiner Knizia', 'Eric M. Lang', 'Christian T. Petersen']","['Daarken', 'Chris Dien', 'John Gravato', 'John Howe']",Edge Entertainment
Sheriff of Nottingham,"['Sérgio Halaban', 'André Zatz']","['Lorraine Schleter', 'David Sladek']",Arcane Wonders
1775: Rebellion,"['Beau Beckett', 'Jeph Stahl']","['Jarek Nocoń', 'Steve Paschal']","Academy Games, Inc."
Heroscape Master Set: Rise of the Valkyrie,"['Stephen Baker', 'Rob Daviau', 'Craig Van Ness']","['Stephen Baker', 'Rob Daviau', 'Craig Van Ness']",Hasbro
Firefly: The Game,"['Aaron Dill', 'John Kovaleski', 'Sean Sweigart']",['Charles Woods'],"Gale Force Nine, LLC"
Altiplano,['Reiner Stockhausen'],"['Klemens Franz', 'Andrea Kattnig', 'Jeff Oglesby']",dlp games
Blood Bowl (Third Edition),['Jervis Johnson'],"['Wayne England', 'David Gallagher', 'Richard Wright']",Games Workshop Ltd.
Heaven & Ale,"['Michael Kiesling', 'Andreas Schmidt']",['Christian Fiore'],eggertspiele
Kingsburg,"['Andrea Chiarvesio', 'Luca Iennaco']",['Mad4GameStyle'],Stratelibri
Pandemic: The Cure,['Matt Leacock'],"['Bernard Bittler', 'Philippe Guérin', 'Chris Quilliams']","Z-Man Games, Inc."
Amun-Re,['Reiner Knizia'],"['Isidre Monés', 'Franz Vohwinkel']",Hans im Glück
Shadows of Brimstone: City of the Ancients,['Jason C. Hill'],"['Gaël Goumon', 'Jack Scott Hill', 'Ralph Horsley', 'Tomasz Jedruszek']",Flying Frog Productions
Mansions of Madness,['Corey Konieczka'],"['Christopher Burdett', 'Anders Finér', 'Henning Ludvigsen']",Fantasy Flight Games
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,"['Alex Davy', 'James Kniffen', 'Corey Konieczka', 'Jason Little']",[],Delta Vision Publishing
Forbidden Desert,['Matt Leacock'],"['C. B. Canga', 'Tyler Edlin']",Gamewright
Amerigo,['Stefan Feld'],"['Harald Lieske', 'Claus Stephan']",Queen Games
Innovation,['Carl Chudyk'],"['Carl Chudyk', 'Cara Judd', 'Robin Olausson', 'Anders Olausson']",Asmadi Games
Descent: Journeys in the Dark,['Kevin Wilson'],"['Jesper Ejsing', 'John Goodenough', 'Frank Walls']",Fantasy Flight Games
Bärenpark,['Phil Walker-Harding'],['Klemens Franz'],Lookout Games
London (first edition),['Martin Wallace'],"['Mike Atkinson', 'Natalia Borek', 'Peter Dennis', 'Simon Jannerland', 'Przemysław Sobiecki']",Treefrog Games
Lost Cities,['Reiner Knizia'],"['Vincent Dutrait', 'Grafik Studio Krüger', 'Michaela Kienle', 'Anke Pohl']",KOSMOS
Stockpile,"['Brett Sobol', 'Seth Van Orden']","['Jacqui Davis', ""Ian O'Toole""]",GaGa Games
Spartacus: A Game of Blood & Treachery,"['Aaron Dill', 'John Kovaleski', 'Sean Sweigart']",['Charles Woods'],"Gale Force Nine, LLC"
The Godfather: Corleone's Empire,['Eric M. Lang'],"['Nicolas Fructus', 'Karl Kopinski', 'Richard Wright']",CMON Limited
Sentinels of the Multiverse,"['Christopher Badell', 'Paul Bender', 'Adam Rebottaro']",['Adam Rebottaro'],Greater Than Games (Sentinel Comics)
Dice Forge,['Régis Bonnessée'],['Biboun'],Libellud
Hanabi,['Antoine Bauza'],"['Antoine Bauza', 'Gérald Guerlais', 'Albertine Ralenti']",ABACUSSPIELE
Archipelago,['Christophe Boelinger'],"['Vincent Boulanger', 'Ismaël Pommaz', 'Chris Quilliams']",Ludically
The Grizzled,"['Fabien Riffaud', 'Juan Rodriguez']",['Tignous'],Sweet Games
Egizia,"['Acchittocca', 'Flaminia Brasini', 'Virginio Gigli', 'Stefano Luperto', 'Antonio Tinto']",['Franz Vohwinkel'],Hans im Glück
Raptor,"['Bruno Cathala', 'Bruno Faidutti']",['Vincent Dutrait'],Matagot
Biblios,['Steve Finn'],"['Steve Finn', 'David Palumbo']",Dr. Finn's Games
Roads & Boats,"['Jeroen Doumen', 'Joris Wiersinga']","['Herman Haverkort', 'Tamara Jannink']",Splotter Spellen
The Great Zimbabwe,"['Jeroen Doumen', 'Joris Wiersinga']",['Ynze Moedt'],Splotter Spellen
One Night Ultimate Werewolf,"['Ted Alspach', 'Akihisa Okui']",['Gus Batts'],Bézier Games
Pandemic: Reign of Cthulhu,"['Matt Leacock', 'Chuck D. Yager']","['Fred Jordan', 'Atha Kanaani', 'Paul Kluka', 'Chris Quilliams']","Z-Man Games, Inc."
Catan,['Klaus Teuber'],"['Volkan Baga', 'Tanja Donner', 'Pete Fenlon', 'Jason Hawkins']",KOSMOS
"Labyrinth: The War on Terror, 2001 – ?",['Volko Ruhnke'],"['Donal Hegarty', 'Rodger B. MacGowan', 'Leland Myrick', 'Volko Ruhnke', 'Mark Simonitch']",GMT Games
Mythic Battles: Pantheon,['Benoit Vogt'],"['Georges Clarenko', 'David Demaret', 'Viktor Dragosani', 'Vincent Dutrait']",Monolith
Madeira,"['Nuno Bizarro Sentieiro', 'Paulo Soledade']",['Mariano Iannelli'],What's Your Game?
Small World Underground,['Philippe Keyaerts'],['Miguel Coimbra'],Days of Wonder
Time's Up! Title Recall!,"['Michael Adams', 'Peter Sarrett']",[],R&R Games
Commands & Colors: Napoleonics,['Richard Borg'],"['Pierre Benigni', 'Pascal da Silva', 'Donal Hegarty', 'Rodger B. MacGowan', 'Mark Simonitch']",GMT Games
Deus,['Sébastien Dujardin'],"['Maëva da Silva', 'Christine Deschamps', 'Paul Laffond', 'Maëva Dasilva', 'Ian Parovel']",Pearl Games
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,['Mike Selinker'],"['Noah Bradley', 'Vincent Dutrait']",Paizo Publishing
Legends of Andor,['Michael Menzel'],"['Michaela Kienle', 'Michael Menzel']",KOSMOS
Colt Express,['Christophe Raimbault'],"['Ian Parovel', 'Jordi Valbuena']",Ludonaute
Star Wars: Destiny,"['Corey Konieczka', 'Lukas Litzsinger']","['Lucas Durham', 'Vlad Ricean']",Fantasy Flight Games
Earth Reborn,['Christophe Boelinger'],"['Christophe Boelinger', 'David Goujard', 'Paul Mafayon', 'Thierry Masson']",Ludically
Photosynthesis,['Hjalmar Hach'],['Sabrina Miramon'],Blue Orange (EU)
Friday,['Friedemann Friese'],"['Harald Lieske', 'Marcel-André Casasola Merkle']",2F-Spiele
Airlines Europe,['Alan R. Moon'],['Christian Fiore'],ABACUSSPIELE
First Class: All Aboard the Orient Express!,['Helmut Ohley'],['Michael Menzel'],Hans im Glück
PitchCar,['Jean du Poël'],['Jean du Poël'],Ferti
Libertalia,['Paolo Mori'],"['Ben Carre', 'Stéphane Gantiez']",Marabunta
Vinhos,['Vital Lacerda'],['Mariano Iannelli'],What's Your Game?
Santa Maria,"['Eilif Svensson', 'Kristian Amundsen Østby']",['Gjermund Bohne'],Aporta Games
Freedom: The Underground Railroad,['Brian Mayer'],"['Jarek Nocoń', 'Steve Paschal']","Academy Games, Inc."
Abyss,"['Bruno Cathala', 'Charles Chevallier']",['Xavier Collette'],Bombyx
Euphoria: Build a Better Dystopia,"['Jamey Stegmaier', 'Alan Stone']",['Jacqui Davis'],Stonemaier Games
Vikings,['Michael Kiesling'],"['Harald Lieske', 'Michael Menzel']",Hans im Glück
Shadows over Camelot,"['Bruno Cathala', 'Serge Laget']","['Cyrille Daujean', 'Julien Delval']",Days of Wonder
Elysium,"['Matthew Dunstan', 'Brett J. Gilbert']",['McCambridge'],Space Cowboys
Taj Mahal,['Reiner Knizia'],['Franz Vohwinkel'],alea
Ginkgopolis,['Xavier Georges'],['Gaël Lannurien'],Pearl Games
Citadels,['Bruno Faidutti'],"['Cyrille Daujean', 'Julien Delval', 'Jesper Ejsing', 'Bruno Faidutti']",Hans im Glück
Hammer of the Scots,"['Tom Dalgliesh', 'Jerry Taylor']","['Karim Chakroun', 'Mark Churms', 'Tom Dalgliesh', 'Jerry Taylor']",Columbia Games
Paperback,['Tim Fowers'],['Ryan Goldsberry'],Fowers Games
Conan,['Frédéric Henry'],"['Georges Clarenko', 'Xavier Collette', 'Viktor Dragosani', 'Xavier Gueniffey Durin']",Monolith
Underwater Cities,['Vladimír Suchý'],['Milan Vavroň'],Delicious Games
Tales of the Arabian Nights,"['Anthony J. Gallela', 'Eric Goldberg', 'Kevin Maroney', 'Zev Shlasinger']","['Peter Gifford', 'Dan Harding']","Z-Man Games, Inc."
A Game of Thrones: The Card Game (Second Edition),"['Nate French', 'Eric M. Lang']",[],Fantasy Flight Games
TZAAR,['Kris Burm'],"['Kris Burm', ""lu'cifer""]",Don & Co.
Western Legends,['Hervé Lemaître'],['Roland MacDonald'],Kolossal Games
A Game of Thrones (First Edition),"['Christian T. Petersen', 'Kevin Wilson']","['Jacques Bredy', 'Thomas Denmark', 'Jason Engle', 'C. Michael Erickson']",Fantasy Flight Games
Ingenious,['Reiner Knizia'],"['Michaela Kienle', 'Fabio Maiorana', 'Scott Nicely', 'Simone Peruzzi', 'Nick Whyles']",KOSMOS
Magic Maze,['Kasper Lapp'],['Gyom'],Sit Down!
Imhotep,['Phil Walker-Harding'],"['Miguel Coimbra', 'Michaela Kienle']",KOSMOS
The Colonists,['Tim Puls'],['Klemens Franz'],Lookout Games
Gùgōng,['Andreas Steding'],['Andreas Resch'],Game Brewer
Evolution,"['Dominic Crapuchettes', 'Dmitry Knorre', 'Sergey Machin']","['JJ Ariosa', 'Giorgio De Michele', 'Catherine Hamilton', 'Kurt Miller', ""Jacoby O'Connor""]",North Star Games
Automobile,['Martin Wallace'],"['Mike Atkinson', 'Czarnè', 'Peter Dennis', 'Klemens Franz']",Mayfair Games
RoboRally,['Richard Garfield'],"['Peter Bergting', 'Bob Carasca', 'Phil Foglio', 'Daniel Gelon']",Wizards of the Coast
Last Will,['Vladimír Suchý'],['Tomáš Kučerovský'],Czech Games Edition
Lords of Vegas,"['James Ernest', 'Mike Selinker']","['Steve Fastner', 'Rich Larson', 'Franz Vohwinkel']",Mayfair Games
Thurn and Taxis,"['Andreas Seyfarth', 'Karen Seyfarth']",['Michael Menzel'],Hans im Glück
Schotten Totten,['Reiner Knizia'],"['Dorien Boekhorst', 'Jean-Baptiste Reynaud', 'Bärbel Skarabelo']",ASS Altenburger Spielkarten
StarCraft: The Board Game,"['Corey Konieczka', 'Christian T. Petersen']","['Kevin Childress', 'Andrew Navaro', 'Scott Nicely', 'Brian Schomburg']",Fantasy Flight Games
Francis Drake,['Peter Hawes'],['Franz Vohwinkel'],Kayal Games
Nexus Ops,['Charlie Catino'],"['Christopher Burdett', 'Henning Ludvigsen', 'Scott Okumura', 'Anthony Waters']","Avalon Hill Games, Inc."
Carson City,['Xavier Georges'],['Alexandre Roche'],Quined White Goblin Games
Mystic Vale,['John D. Clair'],"['Ralf Berszuck', 'Storn Cook', 'Andrew Gaia', 'Katherine Guevara']",Alderac Entertainment Group
Sword & Sorcery,"['Simone Romano', 'Nunzio Surace']","['Mario Barbati', 'Fabrizio Fiorentino', 'Phroilan Gardner', 'Fausto Gutierrez']",Ares Games
Chinatown,['Karsten Hartwig'],"['Mathieu Leyssenne', 'Franz Vohwinkel']",alea
Colosseum,"['Wolfgang Kramer', 'Markus Lübke']","['Cyrille Daujean', 'Jacqui Davis', 'Julien Delval', 'Daniel Solis']",Days of Wonder
Thunderstone Advance: Towers of Ruin,"['Edward Bolme', 'Mike Elliott', 'Mark Wootton']","['Jason Engle', 'Erich Schreiner', 'Mark Tarrisse', 'Shane Tyree']",Alderac Entertainment Group
Sushi Go!,['Phil Walker-Harding'],"['Nan Rangsima', 'Tobias Schweiger', 'Phil Walker-Harding']",Adventureland Games
The Republic of Rome,"['Richard Berthold', 'Don Greenwood', 'Robert Haines']","['Dave Dobyski', 'Charles Kibler', 'Kurt Miller', 'George I. Parrish, Jr.']",The Avalon Hill Game Co
Azul: Stained Glass of Sintra,['Michael Kiesling'],['Chris Quilliams'],Next Move Games
Zombicide,"['Raphaël Guiton', 'Jean-Baptiste Lullien', 'Nicolas Raoult']","['Miguel Coimbra', 'Nicolas Fructus', 'Édouard Guiton', 'Mathieu Harlaut', 'Eric Nouhaut']",CMON Limited
DVONN,['Kris Burm'],"['Kris Burm', ""lu'cifer""]",Corfix
Struggle of Empires,['Martin Wallace'],['Peter Dennis'],Warfrog Games
KLASK,['Mikkel Bertelsen'],['Mikkel Bertelsen'],Competo / Marektoy
Gears of War: The Board Game,['Corey Konieczka'],"['Edge Studio', 'Christopher Hosch', 'Adam Taubenheim', 'Ben Zweifel']",Fantasy Flight Games
Chicago Express,['Harry Wu'],['Michael Menzel'],Queen Games
Runebound (Third Edition),['Lukas Litzsinger'],['WiL Springer'],Fantasy Flight Games
Snowdonia,['Tony Boydell'],"['Tony Boydell', 'Klemens Franz', 'Charlie Paull']",Surprised Stare Games Ltd
AquaSphere,['Stefan Feld'],['Dennis Lohausen'],Hall Games
Nemo's War (second edition),['Chris Taylor (I)'],"[""Ian O'Toole""]",Victory Point Games
Bohnanza,['Uwe Rosenberg'],"['Fréderic Bertrand', 'Marek Bláha', 'Andrea Boekhoff', 'Klemens Franz']",AMIGO
Skull,['Hervé Marly'],"['Rose Kipik', 'Thomas Vuarchex']",Asmodee
Junk Art,"['Jay Cormier', 'Sen-Foong Lim']","['Philippe Guérin', 'Chris Quilliams']",Hobby Japan
Baseball Highlights: 2045,['Mike Fitzgerald'],['William Bricker'],Eagle-Gryphon Games
Potion Explosion,"['Stefano Castelli', 'Andrea Crespi', 'Lorenzo Silva']",['Giulia Ghigini'],Horrible Games
Quantum,['Eric Zimmerman'],"['Georges Bouchelaghem', 'Kieran Yanner']",Funforge
Shadows of Brimstone: Swamps of Death,['Jason C. Hill'],"['Gaël Goumon', 'Jack Scott Hill', 'Ralph Horsley', 'Tomasz Jedruszek']",Flying Frog Productions
Wallenstein (first edition),['Dirk Henn'],"['Jörg Asselborn', 'Christof Tisch']",Queen Games
Queendomino,['Bruno Cathala'],['Cyril Bouquet'],Blackrock Games
Monikers,"['Alex Hague', 'Justin Vickers']",['Alex Hague'],Palm Court
Karuba,['Rüdiger Dorn'],['Claus Stephan'],Conclave Editora
Belfort,"['Jay Cormier', 'Sen-Foong Lim']","['Josh Cappel', 'Jay Cormier', 'Satya Hody', 'Sen-Foong Lim', 'Hans-Georg Schneider']",Tasty Minstrel Games
Triumph & Tragedy,['Craig Besinque'],"['Charles Kibler', 'Rodger B. MacGowan']",GMT Games
Camel Up,['Steffen Bogen'],"['Dennis Lohausen', 'Chris Quilliams']",eggertspiele
Trains,['Hisashi Hayashi'],"['Ikaan Studio', 'Ryo Nyamo']",OKAZU Brand
No Thanks!,['Thorsten Gimmler'],"['Oliver Freudenreich', 'Dennis Lohausen', 'Atelier Löwentor']",AMIGO
Fire in the Lake,"['Mark Herman', 'Volko Ruhnke']","['Rodger B. MacGowan', 'Chechu Nieto', 'Mark Simonitch']",GMT Games
Warhammer Quest: The Adventure Card Game,"['Justin Kemppainen', 'Adam Sadler', 'Brady Sadler']",[],Fantasy Flight Games
Argent: The Consortium,['Trey Chambers'],"['Jennifer Easley', 'Eunice Abigael Tiu']",Level 99 Games
One Night Ultimate Werewolf Daybreak,"['Ted Alspach', 'Akihisa Okui']",['Gus Batts'],Bézier Games
Pax Porfiriana,"['Matt Eklund', 'Phil Eklund', 'Jim Gutt']",['Phil Eklund'],Sierra Madre Games
The Fox in the Forest,['Joshua Buergel'],"['Jennifer L. Meyer', 'Keith Pishnery']",Foxtrot Games
Summoner Wars,['Colby Dauch'],"['JJ Ariosa', 'David Richards', 'Gary Simpson']",Plaid Hat Games
Mare Nostrum: Empires,['Serge Laget'],['Jean-Marie Minguez'],ASYNCRON games
Port Royal,['Alexander Pfister'],"['Klemens Franz', 'Atanas Lozanski']",Pegasus Spiele
Smash Up: Awesome Level 9000,['Paul Peterson'],"['Conceptopolis', 'Dinobot Illustration', 'Gong Studios']",Alderac Entertainment Group
Discworld: Ankh-Morpork,['Martin Wallace'],"['Peter Dennis', 'Paul Kidby', 'Ian Mitchell', 'Bernard Pearson']",Treefrog Games
Dixit: Journey,['Jean-Louis Roubira'],['Xavier Collette'],Libellud
The Battle of Five Armies,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['Lucas Graciano', 'Jon Hodgson', 'Fabio Maiorana', 'Francesco Mattioli', 'Ben Wootten']",Ares Games
Thebes,['Peter Prinz'],['Michael Menzel'],Queen Games
Tobago,['Bruce Allen'],['Victor Boden'],Zoch Verlag
Alhambra,['Dirk Henn'],"['Jörg Asselborn', 'Jo Hartwig', 'Christof Tisch']",Queen Games
Downforce,"['Rob Daviau', 'Justin D. Jacobson', 'Wolfgang Kramer']","['Tavis Coburn', 'Michael Crampton', 'Jason Taylor']",Restoration Games
Chess,['(Uncredited)'],['(Uncredited)'],(Public Domain)
Broom Service,"['Andreas Pelikan', 'Alexander Pfister']",['Vincent Dutrait'],alea
Carcassonne: Hunters and Gatherers,['Klaus-Jürgen Wrede'],['Johann Rüttinger'],Hans im Glück
Bunny Kingdom,['Richard Garfield'],['Paul Mafayon'],IELLO
Defenders of the Realm,['Richard Launius'],['Larry Elmore'],Eagle-Gryphon Games
Coup,['Rikki Tahta'],"['Luis Francisco', 'Stephanie Gustafsson', 'Andrew Higgins', 'Alexandr Kiselev']",Indie Boards & Cards
ZhanGuo,"['Marco Canetta', 'Stefania Niccolini']",['Mariano Iannelli'],What's Your Game?
Up Front,['Courtney F. Allen'],"['Charles Kibler', 'Rodger B. MacGowan']",The Avalon Hill Game Co
Time's Up!,['Peter Sarrett'],['John Vetter'],Asmodee
1846: The Race for the Midwest,['Thomas Lehmann'],"['Chris Lawson', 'Rodger B. MacGowan', 'Kurt Miller', 'Mark Simonitch', 'John Tamplin']","Deep Thought Games, LLC"
Jamaica,"['Malcolm Braff', 'Bruno Cathala', 'Sébastien Pauchon']",['Mathieu Leyssenne'],GameWorks SàRL
Gizmos,['Phil Walker-Harding'],"['Hannah Cardoso', 'Júlia Ferrari', 'Giovanna BC Guimarães', 'Mathieu Harlaut', 'Saeed Jalabi']",CMON Limited
Luna,['Stefan Feld'],['Klemens Franz'],Hall Games
Torres,"['Michael Kiesling', 'Wolfgang Kramer']","['Alessandra Cimatoribus', 'Michael Menzel', 'Franz Vohwinkel']",F.X. Schmid
Taluva,['Marcel-André Casasola Merkle'],"['Manuel Casasola Merkle', 'Xavier Gueniffey Durin', 'Julien Le Faucheur', 'Marcel-André Casasola Merkle']",Hans im Glück
Cry Havoc,['Grant Rodiek'],"['Fyodor Ananiev', 'Mateusz Bielski', 'Grzegorz Bobrowski', 'Tomasz Larek']",Portal Games
Fury of Dracula (Second Edition),"['Stephen Hand', 'Kevin Wilson']","['Ed Bourelle', 'Anders Finér', 'Andrew Navaro', 'Scott Nicely']",Fantasy Flight Games
Through the Desert,['Reiner Knizia'],"['John Gravato', 'Atha Kanaani', 'Scott Nicely', 'Brian Schomburg', 'Claus Stephan']",KOSMOS
Cuba,"['Michael Rieneck', 'Stefan Stadler']","['Michael Menzel', 'Yvon-Cheryl Scholten']",eggertspiele
Specter Ops,['Emerson Matsuuchi'],"['Steven Hamilton', 'Chad Hoverter', 'Emerson Matsuuchi', 'David Richards']",Plaid Hat Games
Shakespeare,['Hervé Rigal'],"['Arnaud Demaegd', 'Neriac']",Ystari Games
Lord of the Rings: The Confrontation,['Reiner Knizia'],['John Howe'],999 Games
Ashes: Rise of the Phoenixborn,['Isaac Vega'],"['Thander Lin', 'David Richards', 'Fernanda Suárez']",Plaid Hat Games
The Duke,"['Jeremy Holcomb', 'Stephen McLaughlin']",['Matt Heerdt'],Catalyst Game Labs
Mr. Jack,"['Bruno Cathala', 'Ludovic Maublanc']",['Pierô'],Hurrican
Space Empires: 4X,['Jim Krohn'],"['Rodger B. MacGowan', 'Mark Simonitch']",Banana Games
Myrmes,['Yoann Levet'],['Arnaud Demaegd'],Ystari Games
Betrayal at House on the Hill,"['Rob Daviau', 'Bruce Glassco', 'Bill McQuillan', 'Mike Selinker', 'Teeuwynn Woodruff']","['Dennis Crabapple McClain', 'Christopher Moeller', 'Peter Whitley']","Avalon Hill Games, Inc."
Escape: The Curse of the Temple,['Kristian Amundsen Østby'],['Oliver Schlemmer'],Queen Games
Napoleon's Triumph,['Bowen Simmons'],['Jean-Louis Ernest Meissonier'],Histogame
Vegas Showdown,['Henry Stern'],"['David Hudnut', 'Scott Okumura', 'Peter Whitley']","Avalon Hill Games, Inc."
Formula D,"['Laurent Lavaur', 'Eric Randall']","['Nicolas Caniaux', 'Stéphane Poinsot', 'Arnaud Simon-Laforet']",Asmodee
Advanced Squad Leader: Starter Kit #1,['Ken Dunn'],['Kurt Miller'],"Avalon Hill Games, Inc."
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,['Uwe Eickert'],['Steve Paschal'],"Academy Games, Inc."
