Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost,Osnova/Dodatek
Architects of the West Kingdom: Extra Player Boards,1,5,60,80,2018,12,Architects of the West Kingdom
The Resistance: Avalon Promos,5,10,30,,2012,13,The Resistance: Avalon
Santorini: Asteria,2,4,20,,2018,8,Santorini
Santorini: Hippolyta,2,4,20,,2018,8,Santorini
Santorini: Hydra,2,4,20,,2018,8,Santorini
Santorini: Iris,2,4,20,,2018,8,Santorini
Santorini: Nyx,2,4,20,,2018,8,Santorini
Santorini: Pegasus,2,4,20,,2018,8,Santorini
Santorini: Promo Pack,2,4,20,,2018,8,Santorini
Santorini: Castor & Pollux,2,4,20,,2017,8,Santorini
Santorini: Eris,2,4,20,,2017,10,Santorini
Santorini: Golden Fleece,2,4,20,,2017,8,Santorini
Teotihuacan: City of Gods – Man vs Meeple Promo,1,4,90,120,2019,12,Teotihuacan: City of Gods
"Teotihuacan: City of Gods – Pyramid Tile Promo, Red Temple",1,4,90,120,2019,12,Teotihuacan: City of Gods
Teotihuacan: Late Preclassic Period,1,4,90,120,2019,12,Teotihuacan: City of Gods
Brettspiel Adventskalender 2018,,,,,2018,,Teotihuacan: City of Gods
Teotihuacan: City of Gods – Brettspiel Adventskalender 2018 Promo,1,4,90,120,2018,12,Teotihuacan: City of Gods
Teotihuacan: City of Gods – Dice Settlers Promo,1,4,90,120,2018,14,Teotihuacan: City of Gods
