Igra,Oblikovalec
Merchants & Marauders,Kasper Aagaard
Merchants & Marauders,Christian Marcussen
Bruges,Stefan Feld
Ghost Stories,Antoine Bauza
Roll Player,Keith Matejka
Dixit,Jean-Louis Roubira
Acquire,Sid Sackson
Die Macher,Karl-Heinz Schmiel
Tikal,Michael Kiesling
Tikal,Wolfgang Kramer
Glass Road,Uwe Rosenberg
Century: Spice Road,Emerson Matsuuchi
Evolution: Climate,Dominic Crapuchettes
Evolution: Climate,Dmitry Knorre
Evolution: Climate,Sergey Machin
Ethnos,Paolo Mori
Tyrants of the Underdark,Peter Lee
Tyrants of the Underdark,Rodney Thompson
Tyrants of the Underdark,Andrew Veen
Neuroshima Hex! 3.0,Michał Oracz
Telestrations,(Uncredited)
KeyForge: Call of the Archons,Richard Garfield
Hanamikoji,Kota Nakayama (中山 宏太)
Pulsar 2849,Vladimír Suchý
Endeavor,Carl de Visser
Endeavor,Jarratt Gray
Claustrophobia,Croc
Cthulhu Wars,Sandy Petersen
Cthulhu Wars,Lincoln Petersen
Takenoko,Antoine Bauza
Blood Bowl: Living Rulebook,Jervis Johnson
Notre Dame,Stefan Feld
Tiny Epic Galaxies,Scott Almes
Clash of Cultures,Christian Marcussen
Love Letter,Seiji Kanai
In the Year of the Dragon,Stefan Feld
Advanced Squad Leader,Don Greenwood
Dune,Bill Eberle
Dune,Jack Kittredge
Dune,Peter Olotka
The Quacks of Quedlinburg,Wolfgang Warsch
The Manhattan Project,Brandon Tibbetts
San Juan,Andreas Seyfarth
Mice and Mystics,Jerry Hawthorne
Civilization,Francis Tresham
Codenames: Pictures,Vlaada Chvátil
Survive: Escape from Atlantis!,Julian Courtland-Smith
Lords of Hellas,Adam Kwapiński
The Pillars of the Earth,Michael Rieneck
The Pillars of the Earth,Stefan Stadler
BattleCON: Devastation of Indines,"D. Brad Talton, Jr."
Space Hulk (third edition),Richard Halliwell
Saint Petersburg,Bernd Brunnhofer
The Quest for El Dorado,Reiner Knizia
Nemesis,Adam Kwapiński
King of Tokyo,Richard Garfield
At the Gates of Loyang,Uwe Rosenberg
Ticket to Ride: Märklin,Alan R. Moon
Nippon,Nuno Bizarro Sentieiro
Nippon,Paulo Soledade
Aeon's End: War Eternal,Kevin Riley
Blood Bowl: Team Manager – The Card Game,Jason Little
Century: Golem Edition,Emerson Matsuuchi
Bruxelles 1893,Etienne Espreman
Macao,Stefan Feld
Arboretum,Dan Cassar
Arkham Horror,Richard Launius
Arkham Horror,Kevin Wilson
Risk Legacy,Rob Daviau
Risk Legacy,Chris Dupuis
Maria,Richard Sivél
Fresco,Wolfgang Panning
Fresco,Marco Ruskowski
Fresco,Marcel Süßelbeck
For Sale,Stefan Dorra
Harry Potter: Hogwarts Battle,Forrest-Pruzan Creative
Harry Potter: Hogwarts Battle,Kami Mandell
Harry Potter: Hogwarts Battle,Andrew Wolf
A Few Acres of Snow,Martin Wallace
Lancaster,Matthias Cramer
51st State: Master Set,Ignacy Trzewiczek
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,Suzanne Goldberg
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,Gary Grady
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,Jérôme Ropert
San Juan (Second Edition),Andreas Seyfarth
Glen More,Matthias Cramer
Flash Point: Fire Rescue,Kevin Lanzing
Quadropolis,François Gandon
Millennium Blades,"D. Brad Talton, Jr."
BattleLore,Richard Borg
Sheriff of Nottingham,Sérgio Halaban
Sheriff of Nottingham,André Zatz
1775: Rebellion,Beau Beckett
1775: Rebellion,Jeph Stahl
Lord of the Rings: The Confrontation,Reiner Knizia
Lord of the Rings: The Confrontation,Eric M. Lang
Lord of the Rings: The Confrontation,Christian T. Petersen
Altiplano,Reiner Stockhausen
Heaven & Ale,Michael Kiesling
Heaven & Ale,Andreas Schmidt
Underwater Cities,Vladimír Suchý
Heroscape Master Set: Rise of the Valkyrie,Stephen Baker
Heroscape Master Set: Rise of the Valkyrie,Rob Daviau
Heroscape Master Set: Rise of the Valkyrie,Craig Van Ness
Shadows of Brimstone: City of the Ancients,Jason C. Hill
Firefly: The Game,Aaron Dill
Firefly: The Game,John Kovaleski
Firefly: The Game,Sean Sweigart
Kingsburg,Andrea Chiarvesio
Kingsburg,Luca Iennaco
Blood Bowl (Third Edition),Jervis Johnson
Pandemic: The Cure,Matt Leacock
Amun-Re,Reiner Knizia
Mansions of Madness,Corey Konieczka
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,Alex Davy
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,James Kniffen
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,Corey Konieczka
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,Jason Little
Amerigo,Stefan Feld
Forbidden Desert,Matt Leacock
Innovation,Carl Chudyk
Bärenpark,Phil Walker-Harding
Descent: Journeys in the Dark,Kevin Wilson
London (first edition),Martin Wallace
Spartacus: A Game of Blood & Treachery,Aaron Dill
Spartacus: A Game of Blood & Treachery,John Kovaleski
Spartacus: A Game of Blood & Treachery,Sean Sweigart
Lost Cities,Reiner Knizia
The Godfather: Corleone's Empire,Eric M. Lang
Stockpile,Brett Sobol
Stockpile,Seth Van Orden
Dice Forge,Régis Bonnessée
Sentinels of the Multiverse,Christopher Badell
Sentinels of the Multiverse,Paul Bender
Sentinels of the Multiverse,Adam Rebottaro
The Great Zimbabwe,Jeroen Doumen
The Great Zimbabwe,Joris Wiersinga
Hanabi,Antoine Bauza
Archipelago,Christophe Boelinger
Mythic Battles: Pantheon,Benoit Vogt
The Grizzled,Fabien Riffaud
The Grizzled,Juan Rodriguez
Egizia,Acchittocca
Egizia,Flaminia Brasini
Egizia,Virginio Gigli
Egizia,Stefano Luperto
Egizia,Antonio Tinto
Raptor,Bruno Cathala
Raptor,Bruno Faidutti
Roads & Boats,Jeroen Doumen
Roads & Boats,Joris Wiersinga
Biblios,Steve Finn
"Labyrinth: The War on Terror, 2001 – ?",Volko Ruhnke
Time's Up! Title Recall!,Michael Adams
Time's Up! Title Recall!,Peter Sarrett
Pandemic: Reign of Cthulhu,Matt Leacock
Pandemic: Reign of Cthulhu,Chuck D. Yager
Madeira,Nuno Bizarro Sentieiro
Madeira,Paulo Soledade
Catan,Klaus Teuber
One Night Ultimate Werewolf,Ted Alspach
One Night Ultimate Werewolf,Akihisa Okui
Small World Underground,Philippe Keyaerts
Commands & Colors: Napoleonics,Richard Borg
Deus,Sébastien Dujardin
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,Mike Selinker
Legends of Andor,Michael Menzel
Star Wars: Destiny,Corey Konieczka
Star Wars: Destiny,Lukas Litzsinger
Colt Express,Christophe Raimbault
Earth Reborn,Christophe Boelinger
Photosynthesis,Hjalmar Hach
Friday,Friedemann Friese
Airlines Europe,Alan R. Moon
Santa Maria,Eilif Svensson
Santa Maria,Kristian Amundsen Østby
First Class: All Aboard the Orient Express!,Helmut Ohley
PitchCar,Jean du Poël
Libertalia,Paolo Mori
Freedom: The Underground Railroad,Brian Mayer
Vinhos,Vital Lacerda
Euphoria: Build a Better Dystopia,Jamey Stegmaier
Euphoria: Build a Better Dystopia,Alan Stone
Abyss,Bruno Cathala
Abyss,Charles Chevallier
Vikings,Michael Kiesling
Shadows over Camelot,Bruno Cathala
Shadows over Camelot,Serge Laget
Ginkgopolis,Xavier Georges
Elysium,Matthew Dunstan
Elysium,Brett J. Gilbert
Hammer of the Scots,Tom Dalgliesh
Hammer of the Scots,Jerry Taylor
Taj Mahal,Reiner Knizia
Citadels,Bruno Faidutti
TZAAR,Kris Burm
Gùgōng,Andreas Steding
A Game of Thrones: The Card Game (Second Edition),Nate French
A Game of Thrones: The Card Game (Second Edition),Eric M. Lang
Paperback,Tim Fowers
Conan,Frédéric Henry
Western Legends,Hervé Lemaître
Tales of the Arabian Nights,Anthony J. Gallela
Tales of the Arabian Nights,Eric Goldberg
Tales of the Arabian Nights,Kevin Maroney
Tales of the Arabian Nights,Zev Shlasinger
Ingenious,Reiner Knizia
A Game of Thrones (First Edition),Christian T. Petersen
A Game of Thrones (First Edition),Kevin Wilson
The Lord of the Rings: Journeys in Middle-earth,Nathan I. Hajek
The Lord of the Rings: Journeys in Middle-earth,Grace Holdinghaus
The Colonists,Tim Puls
Imhotep,Phil Walker-Harding
Magic Maze,Kasper Lapp
Evolution,Dominic Crapuchettes
Evolution,Dmitry Knorre
Evolution,Sergey Machin
Azul: Stained Glass of Sintra,Michael Kiesling
Automobile,Martin Wallace
Last Will,Vladimír Suchý
RoboRally,Richard Garfield
Lords of Vegas,James Ernest
Lords of Vegas,Mike Selinker
StarCraft: The Board Game,Corey Konieczka
StarCraft: The Board Game,Christian T. Petersen
Thurn and Taxis,Andreas Seyfarth
Thurn and Taxis,Karen Seyfarth
Schotten Totten,Reiner Knizia
Chinatown,Karsten Hartwig
Mystic Vale,John D. Clair
Nexus Ops,Charlie Catino
Francis Drake,Peter Hawes
Carson City,Xavier Georges
Sword & Sorcery,Simone Romano
Sword & Sorcery,Nunzio Surace
Colosseum,Wolfgang Kramer
Colosseum,Markus Lübke
Thunderstone Advance: Towers of Ruin,Edward Bolme
Thunderstone Advance: Towers of Ruin,Mike Elliott
Thunderstone Advance: Towers of Ruin,Mark Wootton
Sushi Go!,Phil Walker-Harding
The Republic of Rome,Richard Berthold
The Republic of Rome,Don Greenwood
The Republic of Rome,Robert Haines
KLASK,Mikkel Bertelsen
DVONN,Kris Burm
Struggle of Empires,Martin Wallace
Zombicide,Raphaël Guiton
Zombicide,Jean-Baptiste Lullien
Zombicide,Nicolas Raoult
Chicago Express,Harry Wu
Gears of War: The Board Game,Corey Konieczka
AquaSphere,Stefan Feld
Nemo's War (second edition),Chris Taylor (I)
Snowdonia,Tony Boydell
Runebound (Third Edition),Lukas Litzsinger
Skull,Hervé Marly
Bohnanza,Uwe Rosenberg
Junk Art,Jay Cormier
Junk Art,Sen-Foong Lim
Baseball Highlights: 2045,Mike Fitzgerald
Monikers,Alex Hague
Monikers,Justin Vickers
Quantum,Eric Zimmerman
Shadows of Brimstone: Swamps of Death,Jason C. Hill
Queendomino,Bruno Cathala
Potion Explosion,Stefano Castelli
Potion Explosion,Andrea Crespi
Potion Explosion,Lorenzo Silva
Triumph & Tragedy,Craig Besinque
Wallenstein (first edition),Dirk Henn
Fire in the Lake,Mark Herman
Fire in the Lake,Volko Ruhnke
Karuba,Rüdiger Dorn
The Fox in the Forest,Joshua Buergel
Trains,Hisashi Hayashi
No Thanks!,Thorsten Gimmler
Belfort,Jay Cormier
Belfort,Sen-Foong Lim
Argent: The Consortium,Trey Chambers
Mare Nostrum: Empires,Serge Laget
Camel Up,Steffen Bogen
Warhammer Quest: The Adventure Card Game,Justin Kemppainen
Warhammer Quest: The Adventure Card Game,Adam Sadler
Warhammer Quest: The Adventure Card Game,Brady Sadler
Pax Porfiriana,Matt Eklund
Pax Porfiriana,Phil Eklund
Pax Porfiriana,Jim Gutt
Summoner Wars,Colby Dauch
One Night Ultimate Werewolf Daybreak,Ted Alspach
One Night Ultimate Werewolf Daybreak,Akihisa Okui
Bunny Kingdom,Richard Garfield
Discworld: Ankh-Morpork,Martin Wallace
The Battle of Five Armies,Roberto Di Meglio
The Battle of Five Armies,Marco Maggi
The Battle of Five Armies,Francesco Nepitello
Port Royal,Alexander Pfister
Smash Up: Awesome Level 9000,Paul Peterson
Downforce,Rob Daviau
Downforce,Justin D. Jacobson
Downforce,Wolfgang Kramer
Dixit: Journey,Jean-Louis Roubira
Thebes,Peter Prinz
Tobago,Bruce Allen
Broom Service,Andreas Pelikan
Broom Service,Alexander Pfister
Chess,(Uncredited)
Alhambra,Dirk Henn
Carcassonne: Hunters and Gatherers,Klaus-Jürgen Wrede
Gizmos,Phil Walker-Harding
Defenders of the Realm,Richard Launius
Up Front,Courtney F. Allen
Coup,Rikki Tahta
ZhanGuo,Marco Canetta
ZhanGuo,Stefania Niccolini
1846: The Race for the Midwest,Thomas Lehmann
Time's Up!,Peter Sarrett
Luna,Stefan Feld
Jamaica,Malcolm Braff
Jamaica,Bruno Cathala
Jamaica,Sébastien Pauchon
Taluva,Marcel-André Casasola Merkle
Torres,Michael Kiesling
Torres,Wolfgang Kramer
Cuba,Michael Rieneck
Cuba,Stefan Stadler
Space Empires: 4X,Jim Krohn
Through the Desert,Reiner Knizia
Shakespeare,Hervé Rigal
Fury of Dracula (Second Edition),Stephen Hand
Fury of Dracula (Second Edition),Kevin Wilson
Lord of the Rings: The Confrontation,Reiner Knizia
Specter Ops,Emerson Matsuuchi
Cry Havoc,Grant Rodiek
Ashes: Rise of the Phoenixborn,Isaac Vega
The Duke,Jeremy Holcomb
The Duke,Stephen McLaughlin
Myrmes,Yoann Levet
Mr. Jack,Bruno Cathala
Mr. Jack,Ludovic Maublanc
Napoleon's Triumph,Bowen Simmons
Advanced Squad Leader: Starter Kit #1,Ken Dunn
Betrayal at House on the Hill,Rob Daviau
Betrayal at House on the Hill,Bruce Glassco
Betrayal at House on the Hill,Bill McQuillan
Betrayal at House on the Hill,Mike Selinker
Betrayal at House on the Hill,Teeuwynn Woodruff
Escape: The Curse of the Temple,Kristian Amundsen Østby
Formula D,Laurent Lavaur
Formula D,Eric Randall
Vegas Showdown,Henry Stern
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,Uwe Eickert
Cryptid,Hal Duncan
Cryptid,Ruth Veevers
Dominion (Second Edition),Donald X. Vaccarino
Star Trek: Fleet Captains,Mike Elliott
Star Trek: Fleet Captains,Bryan Kinsella
Star Trek: Fleet Captains,Ethan Pasternack
London (Second Edition),Martin Wallace
Thunderstone Quest,Mike Elliott
Thunderstone Quest,Bryan Reese
Thunderstone Quest,Mark Wootton
Blood Bowl (2016 edition),James M. Hewitt
Blood Bowl (2016 edition),Andy Hoare
Blood Bowl (2016 edition),Jervis Johnson
Steampunk Rally,Orin Bishop
Eminent Domain,Seth Jaffee
1989: Dawn of Freedom,Jason Matthews
1989: Dawn of Freedom,Ted Torgerson
Summoner Wars: Alliances Master Set,Colby Dauch
Tokaido,Antoine Bauza
Medici,Reiner Knizia
Exit: The Game – The Pharaoh's Tomb,Inka Brand
Exit: The Game – The Pharaoh's Tomb,Markus Brand
Love Letter: Batman,Seiji Kanai
Cuba Libre,Jeff Grossman
Cuba Libre,Volko Ruhnke
Shipyard,Vladimír Suchý
Las Vegas,Rüdiger Dorn
The Downfall of Pompeii,Klaus-Jürgen Wrede
Space Hulk,Richard Halliwell
Washington's War,Mark Herman
Zombicide Season 2: Prison Outbreak,Raphaël Guiton
Zombicide Season 2: Prison Outbreak,Jean-Baptiste Lullien
Zombicide Season 2: Prison Outbreak,Nicolas Raoult
Arcadia Quest: Inferno,Thiago Aranha
Arcadia Quest: Inferno,Guilherme Goulart
Arcadia Quest: Inferno,Eric M. Lang
Arcadia Quest: Inferno,Fred Perret
Middle-Earth Quest,Corey Konieczka
Middle-Earth Quest,Christian T. Petersen
Middle-Earth Quest,Tim Uren
Tajemnicze Domostwo,Oleksandr Nevskiy
Tajemnicze Domostwo,Oleg Sidorenko
Among the Stars,Vangelis Bagiartakis
Spyfall,Alexandr Ushan
Yspahan,Sébastien Pauchon
Kingdom Builder,Donald X. Vaccarino
K2,Adam Kałuża
Love Letter Premium,Seiji Kanai
