Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost
Ticket to Ride,2,5,30,60,2004,8
Targi,2,2,60,60,2012,12
Vinhos Deluxe Edition,1,4,60,135,2016,14
Sekigahara: The Unification of Japan,2,2,180,180,2011,14
Ra,2,5,45,60,1999,12
This War of Mine: The Board Game,1,6,45,120,2017,18
Xia: Legends of a Drift System,3,5,60,180,2014,12
Shogun,3,5,90,120,2006,12
Cyclades,2,5,60,90,2009,13
Galaxy Trucker,2,4,60,60,2007,10
Carcassonne,2,5,30,45,2000,8
Magic: The Gathering,2,2,20,20,1993,13
Trickerion: Legends of Illusion,2,4,60,180,2015,14
Endeavor: Age of Sail,2,5,60,90,2018,13
Charterstone,1,6,45,75,2017,14
Star Realms: Colony Wars,2,2,20,20,2015,12
Imperial Settlers,1,4,45,90,2014,10
YINSH,2,2,30,60,2003,9
Sushi Go Party!,2,8,20,20,2016,8
Lewis & Clark,1,5,120,120,2013,14
Imperial,2,6,120,180,2006,13
Power Grid Deluxe: Europe/North America,2,6,120,120,2014,12
Glory to Rome,2,5,60,60,2005,12
Dungeon Petz,2,4,90,90,2011,13
Deception: Murder in Hong Kong,4,12,20,20,2014,14
Age of Empires III: The Age of Discovery,2,5,90,120,2007,10
Decrypto,3,8,15,45,2018,12
Isle of Skye: From Chieftain to King,2,5,30,50,2015,8
1960: The Making of the President,2,2,90,120,2007,12
Hero Realms,2,4,20,30,2016,12
Bora Bora,2,4,60,120,2013,12
Summoner Wars: Master Set,2,4,30,60,2011,9
Hannibal: Rome vs. Carthage,2,2,40,200,1996,12
1830: Railways & Robber Barons,2,7,180,360,1986,14
BattleLore (Second Edition),2,2,45,90,2013,14
Runewars,2,4,180,240,2010,14
Seasons,2,4,60,60,2012,14
Dead of Winter: The Long Night,2,5,60,120,2016,14
Space Alert,1,5,30,30,2008,12
Secret Hitler,5,10,45,45,2016,13
Exit: The Game – The Abandoned Cabin,1,6,60,120,2016,12
Everdell,1,4,40,80,2018,13
Alien Frontiers,2,4,90,90,2010,13
Dixit: Odyssey,3,12,30,30,2011,8
Kanban: Driver's Edition,2,4,90,120,2014,12
Mage Wars Arena,2,2,90,90,2012,13
Navegador,2,5,60,90,2010,12
Mysterium,2,7,42,42,2015,10
Imperial 2030,2,6,120,180,2009,12
Samurai,2,4,30,60,1998,10
Fury of Dracula (third/fourth edition),2,5,120,180,2015,14
Above and Below,2,4,90,90,2015,13
Rajas of the Ganges,2,4,45,75,2017,12
Welcome To...,1,100,25,25,2018,10
Indonesia,2,5,180,240,2005,14
Battle Line,2,2,30,30,2000,12
Kingdomino,2,4,15,20,2016,8
Antiquity,2,4,120,180,2004,14
That's Pretty Clever,1,4,30,30,2018,8
Here I Stand,2,6,180,360,2006,12
Sid Meier's Civilization: The Board Game,2,4,120,240,2010,13
Burgle Bros.,1,4,45,90,2015,12
Onitama,2,2,15,20,2014,8
Rococo,2,5,60,120,2013,12
Dungeon Lords,2,4,90,90,2009,12
The Resistance,5,10,30,30,2009,13
Coimbra,2,4,60,90,2018,14
Small World,2,5,40,80,2009,8
Letters from Whitechapel,2,6,60,60,2011,14
Star Wars: Armada,2,2,120,120,2015,14
Agricola: All Creatures Big and Small,2,2,30,30,2012,13
Detective: A Modern Crime Board Game,1,5,120,180,2018,16
The Manhattan Project: Energy Empire,1,5,60,120,2016,13
Hive,2,2,20,20,2001,9
Mission: Red Planet (Second Edition),2,6,45,90,2015,14
Flamme Rouge,2,4,30,45,2016,8
Merchants & Marauders,2,4,180,180,2010,13
Modern Art,3,5,45,45,1992,10
Ghost Stories,1,4,60,60,2008,12
Bruges,2,4,60,60,2013,10
Dixit,3,6,30,30,2008,8
Roll Player,1,4,60,90,2016,10
Die Macher,3,5,240,240,1986,14
Acquire,2,6,90,90,1964,12
Tikal,2,4,90,90,1999,10
Century: Spice Road,2,5,30,45,2017,8
KeyForge: Call of the Archons,2,2,15,45,2018,14
Glass Road,1,4,20,80,2013,13
Neuroshima Hex! 3.0,1,4,30,30,2006,13
Evolution: Climate,2,6,60,60,2016,12
Ethnos,2,6,45,60,2017,14
Tyrants of the Underdark,2,4,60,60,2016,14
Telestrations,4,8,30,30,2009,12
Hanamikoji,2,2,15,15,2013,10
Endeavor,3,5,90,90,2009,12
Claustrophobia,2,2,45,45,2009,14
Takenoko,2,4,45,45,2011,8
Blood Bowl: Living Rulebook,2,2,120,120,2004,12
Tiny Epic Galaxies,1,5,30,60,2015,14
Cthulhu Wars,2,4,90,120,2015,14
Pulsar 2849,2,4,60,90,2017,14
Notre Dame,2,5,45,75,2007,10
Love Letter,2,4,20,20,2012,10
Clash of Cultures,2,4,180,240,2012,14
In the Year of the Dragon,2,5,75,100,2007,12
Dune,2,6,60,180,1979,12
Advanced Squad Leader,2,2,120,480,1985,14
The Manhattan Project,2,5,120,120,2012,13
Mice and Mystics,1,4,60,90,2012,7
Codenames: Pictures,2,8,15,15,2016,10
San Juan,2,4,45,60,2004,10
Civilization,2,7,360,360,1980,12
Survive: Escape from Atlantis!,2,4,45,60,1982,8
The Pillars of the Earth,2,4,90,120,2006,12
BattleCON: Devastation of Indines,1,5,45,45,2013,10
Space Hulk (third edition),2,2,60,60,2009,12
Saint Petersburg,2,4,45,60,2004,10
King of Tokyo,2,6,30,30,2011,8
Lords of Hellas,1,4,60,90,2018,14
