Oblikovalec
Louis Malz
Andrew Wolf
Seth Van Orden
Jay Cormier
James M. Hewitt
Max Brooke
Matt Leacock
Glenn Drover
Peggy Chassenet
Teeuwynn Woodruff
Jason C. Hill
Brett Sobol
Vangelis Bagiartakis
Brandon Tibbetts
Brian Mayer
Keith Matejka
Andreas Schmidt
Jérôme Ropert
Marcel-André Casasola Merkle
Laurent Lavaur
Dominic Crapuchettes
Charlie Catino
ErikPeter Walker
Nathan Tiras
Joris Wiersinga
Helge Ostertag
Akihisa Okui
Brian Lewis
John Kennard
Cody Miller
Josh J. Carlson
Christopher Badell
Richard Garfield
Matthias Cramer
Raymond Edwards
Wolfgang Warsch
Nathan I. Hajek
Robert Haines
Marco Maggi
Max Temkin
Robert Dougherty
Antoine Bauza
Ludovic Maublanc
Nikki Valens
Suzanne Goldberg
David Cicurel
Hervé Rigal
Andy Hoare
Bill Norton
Gavan Brown
Daniele Tascini
Grant Rodiek
Karl-Heinz Schmiel
Tom Vasel
Peter Olotka
Wolfgang Panning
Bruno Cathala
Vital Lacerda
Grzegorz Kobiela
Jonathan Ying
Markus Lübke
Adam Kałuża
Klaus Teuber
Gernot Köpke
Beau Beckett
Stephen Hand
Kasper Aagaard
André Zatz
Lorenzo Silva
Touko Tahkokallio
Corey Konieczka
Joshua Buergel
Michael Menzel
Vlaada Chvátil
Christian Marcussen
Ben Cichoski
Themistoklis Dakanalis
Hisashi Hayashi
Tobey Ho
Oleksandr Nevskiy
Flaminia Brasini
Ethan Pasternack
Sebastian Bleasdale
Morten Monrad Pedersen
Dirk Henn
Jerry Hawthorne
Etienne Espreman
Adam Sadler
Grzegorz Dabrowiecki
Chad Jensen
Ted Torgerson
Tim McKnight
Xavier Georges
Astanda
Marco Ruskowski
Gabriele Mari
Jordi Ferrer
Stefania Niccolini
Melissa Delp
Jeff Grossman
Jacques Thiriat
Mike Selinker
Andy Clautice
Alexandr Ushan
Alexander Pfister
Matthew Newman
Sébastien Pauchon
François Gandon
Christophe Boelinger
Scott Almes
Peter Hawes
Rustan Håkansson
Kami Mandell
Stone Librande
