Game,Designers,Artists,Publisher
Mansions of Madness: Second Edition – Horrific Journeys: Expansion,['Kara Centell-Dunk'],[],Fantasy Flight Games
Mansions of Madness: Second Edition – Sanctum of Twilight: Expansion,"['Kara Centell-Dunk', 'Grace Holdinghaus']",[],Asmodee
Mansions of Madness: Second Edition – Beyond the Threshold: Expansion,"['Kara Centell-Dunk', 'Nikki Valens']","['Cristi Balanescu', 'Magali Villeneuve']",Asterion Press
Mansions of Madness: Second Edition – Streets of Arkham: Expansion,"['Kara Centell-Dunk', 'Tony Fanchi', 'Grace Holdinghaus']",[],Asmodee
Mansions of Madness: Second Edition – Recurring Nightmares: Figure and Tile Collection,"['Kara Centell-Dunk', 'Nikki Valens']",[],Asterion Press
Mansions of Madness: Second Edition – Suppressed Memories: Figure and Tile Collection,"['Kara Centell-Dunk', 'Nikki Valens']",[],Asterion Press
A Feast for Odin: The Norwegians,"['Gernot Köpke', 'Uwe Rosenberg']",['Dennis Lohausen'],Feuerland Spiele
Deutscher Spielepreis 2017 Goodie Box,['(Uncredited)'],[],Frosted Games
"A Feast for Odin: Lofoten, Orkney, and Tierra del Fuego",['Gernot Köpke'],['Dennis Lohausen'],Cranio Creations
A Feast for Odin: New Special Tiles,['Gernot Köpke'],['Dennis Lohausen'],Feuerland Spiele
Food Chain Magnate: The Ketchup Mechanism & Other Ideas,"['Jeroen Doumen', 'Joris Wiersinga']","['Iris de Haan', 'Ynze Moedt']",Splotter Spellen
Blood Rage: Hili – The Even-Handed,['Eric M. Lang'],[],CMON Limited
Blood Rage: 5th Player Expansion,['Eric M. Lang'],['Adrian Smith'],Asmodee
Blood Rage: Gods of Ásgard,['Eric M. Lang'],"['Mike McVey', 'Adrian Smith']",CMON Limited
Blood Rage: Kickstarter Exclusives,['Eric M. Lang'],['Mike McVey'],CMON Limited
Blood Rage: Mystics of Midgard,['Eric M. Lang'],['Adrian Smith'],CMON Limited
Kingdom Death: Monster – Abyssal Woods Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – Ancient Root,['Adam Poots'],[],Kingdom Death
Kingdom Death: Monster – Anonymous Survivor Promo,['Adam Poots'],[],Kingdom Death
Kingdom Death: Monster – Black Knight Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – Campaigns of Death Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – Corsair Coat,['Adam Poots'],['Lokman Lam'],Kingdom Death
Kingdom Death: Monster – Death Armor Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – False Messengers Promo,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – First Hero Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Kingdom Death: Monster – Frogdog Expansion,['Adam Poots'],"['Lokman Lam', 'Lorinda Tomko']",Kingdom Death
Star Wars: Imperial Assault – Coruscant Back Alleys Skirmish Map,[],[],Fantasy Flight Games
Star Wars: Imperial Assault – Endor Defense Station Skirmish Map,[],[],Fantasy Flight Games
Star Wars: Imperial Assault – Ezra Bridger and Kanan Jarrus Ally Pack,[],[],Asmodee
Star Wars: Imperial Assault – Hondo Ohnaka Villain Pack,[],[],Asmodee
Star Wars: Imperial Assault – Sabine Wren and Zeb Orrelios Ally Pack,[],[],Fantasy Flight Games
Star Wars: Imperial Assault – Thrawn Villain Pack,[],[],Fantasy Flight Games
Star Wars: Imperial Assault – Tyrants of Lothal,"['Tony Fanchi', 'Todd Michlitsch', 'Brandon Perdue']","['Grzegorz Bobrowski', 'Alberto Bontempi', 'Marius Bota', 'Aurore Folny']",Asmodee
Star Wars: Imperial Assault – Ahsoka Tano Ally Pack,[],[],Asmodee
Star Wars: Imperial Assault – Alliance Rangers Ally Pack,"['Todd Michlitsch', 'Paul Winchester']",[],Edge Entertainment
Star Wars: Imperial Assault – BT-1 and 0-0-0 Villain Pack,"['Todd Michlitsch', 'Paul Winchester']","['Gabriela Birchal', 'J. B. Casacop', 'Jeff Lee Johnson', 'Jason Juta', 'Michael Silsby']",Edge Entertainment
Power Grid: Fabled Expansion,['Friedemann Friese'],['Harald Lieske'],2F-Spiele
Brettspiel Adventskalender 2015,['Matthias Nagy'],['Klemens Franz'],Frosted Games
Power Grid: High-Voltage DC Transmission Passage C,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Power Grid: The Stock Companies,['Friedemann Friese'],"['Antonio Dessi', 'Lars-Arne ""Maura"" Kalusky', 'Harald Lieske']",2F-Spiele
Power Grid: Australia & Indian Subcontinent,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Power Grid: Taxes,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Power Grid: Northern Europe/United Kingdom & Ireland,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Power Grid: Oracle & Industrial Espionage,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Power Grid: Québec/Baden-Württemberg,['Friedemann Friese'],"['Lars-Arne ""Maura"" Kalusky']",2F-Spiele
Funkenschlag: Speicherkraftwerk,[],['Christof Tisch'],W. Nostheide Verlag GmbH
Through the Ages: Spanish Promo Card Set,[],[],HomoLudicus
Cywilizacja: Poprzez wieki – Polski dodatek 2,[],[],Rebel
BGO Extended 2.0 expansion (fan expansion for Through the Ages),[],[],(Web published)
Cywilizacja: Poprzez wieki – Polski dodatek 1,[],[],Rebel
Through the Ages: A Story of Civilization – Czech expansion,[],[],MINDOK
Azul: Special Factories Promo,['Michael Kiesling'],"['Philippe Guérin', 'Chris Quilliams']",Frosted Games
Deutscher Spielepreis 2018 Goodie Box,['(Uncredited)'],[],Frosted Games
Azul: Joker Tiles,['Michael Kiesling'],"['Philippe Guérin', 'Chris Quilliams']",Lacerta
Tzolk'in: The Mayan Calendar – Mini Expansion 2,"['Simone Luciani', 'Daniele Tascini']",['Milan Vavroň'],Czech Games Edition
Tzolk'in: The Mayan Calendar – Tribes & Prophecies,"['Simone Luciani', 'Daniele Tascini']",['Milan Vavroň'],Czech Games Edition
Tzolk'in: The Mayan Calendar – Mini Expansion 1,"['Simone Luciani', 'Daniele Tascini']",['Milan Vavroň'],Czech Games Edition
Eclipse:  Anticipation of the Elders,['Touko Tahkokallio'],['Sampo Sikiö'],(Web published)
Eclipse: Black Hole,['Touko Tahkokallio'],[],Lautapelit.fi
Eclipse: Gift of the Elders,"['Sampo Sikiö', 'Touko Tahkokallio']",['Sampo Sikiö'],(Web published)
Eclipse: Shadow of the Rift,['Touko Tahkokallio'],"['Ossi Hiekkala', 'Jukka Rajaniemi', 'Sampo Sikiö']",Lautapelit.fi
Eclipse: Nebula,['Touko Tahkokallio'],['Sampo Sikiö'],Lautapelit.fi
Eclipse: The Galactic North,"['Sampo Sikiö', 'Touko Tahkokallio']",['Sampo Sikiö'],(Web published)
Eclipse: Minions of the Solstice,"['Sampo Sikiö', 'Touko Tahkokallio']",['Sampo Sikiö'],(Web published)
Eclipse: Ship Pack One,['Touko Tahkokallio'],"['Ossi Hiekkala', 'Jukka Rajaniemi', 'Sampo Sikiö']",Lautapelit.fi
Eclipse: Pulsar,['Touko Tahkokallio'],['Sampo Sikiö'],Asmodee
Eclipse: Rise of the Ancients,['Touko Tahkokallio'],"['Ossi Hiekkala', 'Jukka Rajaniemi', 'Sampo Sikiö']",Lautapelit.fi
Le Havre: Le Grand Hameau – Tablet with App,"['Grzegorz Kobiela', 'Uwe Rosenberg']",['Klemens Franz'],Lookout Games
Le Havre: Le Grand Hameau,"['Grzegorz Kobiela', 'Uwe Rosenberg']",['Klemens Franz'],Hobby Japan
Le Havre: Le Grand Hameau – Rattletrap car,"['Grzegorz Kobiela', 'Uwe Rosenberg']",['Klemens Franz'],Lookout Games
Le Havre: Le Grand Hameau – Wholesale Bakery,"['Grzegorz Kobiela', 'Uwe Rosenberg']",['Klemens Franz'],Lookout Games
Le Havre: Spielemesse Sonderkarte,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Le Havre Expansion: Essen Promo Cards,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Robinson Crusoe: Adventures on the Cursed Island – Mystery Tales,"['Joanna Kijanka', 'Ignacy Trzewiczek']",[],Portal Games
Robinson Crusoe: Przygoda na przeklętej wyspie – Kafel Wulkanu,[],[],Portal Games
Robinson Crusoe: Adventure in the Neverland Junior,"['Mariusz ""Gekon"" Goeck']",[],Portal Games
"Robinson Crusoe: Adventures on the Cursed Island – ""Time Travel"" Scenario",['Themistoklis Dakanalis'],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – Hunting Adventures,['Ignacy Trzewiczek'],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – In-Store Event Kit,['Ignacy Trzewiczek'],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – Mystery Cards I,[],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – Shelter Upgrades,['Ignacy Trzewiczek'],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – Event Cards,['Ignacy Trzewiczek'],[],Portal Games
Robinson Crusoe: Adventures on the Cursed Island – Herb Garden and Pen,['Ignacy Trzewiczek'],[],Portal Games
The Voyages of Marco Polo: The Secret Paths of Marco Polo,"['Simone Luciani', 'Daniele Tascini']",['Dennis Lohausen'],Hans im Glück
The Voyages of Marco Polo: Agents of Venice,"['Simone Luciani', 'Daniele Tascini']",['Dennis Lohausen'],Hans im Glück
The Voyages of Marco Polo: The New Characters,"['Simone Luciani', 'Daniele Tascini']",['Dennis Lohausen'],Filosofia Éditions
Downfall (Fan expansion for Android: Netrunner),[],[],(Web published)
Android: Netrunner – Council of the Crest,[],[],Asmodee Italia
Android: Netrunner – Down the White Nile,[],['Alexandr Elichev'],Asmodee Italia
Android: Netrunner – Kampala Ascendent,[],[],Fantasy Flight Games
Android: Netrunner – Magnum Opus cards,[],[],Fantasy Flight Games
Android: Netrunner – Reign and Reverie,[],[],Fantasy Flight Games
Android: Netrunner – The Devil and the Dragon,[],[],Asmodee Italia
Android: Netrunner – Whispers in Nalubaale,[],[],Asmodee Italia
Android: Netrunner – Blood and Water,[],"['Aurore Folny', 'Andreas Zafiratos', 'Matt Zeilinger']",Edge Games LLC
Android: Netrunner – Crimson Dust,[],"['Ed Mattinian', 'Mark Molnar']",Edge Entertainment
7 Wonders: Armada,['Antoine Bauza'],"['Dimitri Chappuis', 'Etienne Hebinger', 'Cyril Nouvel']",Repos Production
7 Wonders: Babel,['Antoine Bauza'],['Miguel Coimbra'],Asmodee
Collection (fan expansion for 7 Wonders),[],[],(Web published)
7 Wonders: Wonder Pack,['Antoine Bauza'],['Miguel Coimbra'],Repos Production
Empires (fan expansion for 7 Wonders),['Scot Eaton'],['Scot Eaton'],(Self-Published)
Game Wonders (fan expansion for 7 Wonders),['Henrik Larsson'],[],(Web published)
7 Wonders: Cities,['Antoine Bauza'],['Miguel Coimbra'],Repos Production
Lost Wonders (fan expansion for 7 Wonders),[],[],(Web published)
More Wonders... (fan expansion for 7 Wonders),[],[],(Web published)
Myths (fan expansion for 7 Wonders),[],[],(Web published)
Brettspiel Adventskalender 2018,[],['Doris Matthäus'],Frosted Games
Keyflower: Boat 7,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],R&D Games
Keyflower: Delivery Man,"['Sebastian Bleasdale', 'Richard Breese']","['Juliet Breese', 'Jo Breese', 'Gemma Tegelaers']",Frosted Games
Keyflower: Developer,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],R&D Games
Keyflower: Sorcerer,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],R&D Games
Keyflower: Keymelequin,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],R&D Games
Keyflower: Pig Shelter,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],Czacha Games
Keyflower: Beekeeper,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],BoardGameGeek
Keyflower: The Merchants,"['Sebastian Bleasdale', 'Richard Breese']","['Juliet Breese', 'Jo Breese', 'Konstantin Vohwinkel']",Czacha Games
Keyflower: Trader,"['Sebastian Bleasdale', 'Richard Breese']",['Juliet Breese'],Czacha Games
Anachrony: Fractures of Time,"['Richard Amann', 'Viktor Peter', 'Dávid Turczi']",['Villő Farkas'],Mindclash Games
Anachrony: The Sentry Post,"['Richard Amann', 'Viktor Peter', 'Dávid Turczi']",['Villő Farkas'],(Self-Published)
Anachrony: Doomsday Enhancement Pack,[],[],Mindclash Games
Anachrony: Exosuit Commander Pack,"['Richard Amann', 'Viktor Peter', 'Dávid Turczi']",['Villő Farkas'],Engames
Race for the Galaxy: Retrofit Cards,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Race for the Galaxy: New Worlds Promo,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Race for the Galaxy: Xeno Invasion,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki']",Rio Grande Games
Patronage (fan expansion to Race for the Galaxy),['ErikPeter Walker'],[],(Web published)
Race for the Galaxy: Alien Artifacts,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Race for the Galaxy: The Brink of War,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Race for the Galaxy: Rebel vs Imperium,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Race for the Galaxy: The Gathering Storm,['Thomas Lehmann'],"['Martin Hoffmann', 'Claus Stephan']",Rio Grande Games
Caylus Expansion: The Jeweller,['William Attia'],[],(Web published)
Fields of Arle: New Travel Destination – Aachen,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Bad Wörishofen,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Baden,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Baltrum,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Kaiserslautern,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Würzburg,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Zürich,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Fields of Arle: New Travel Destination – Ahrweiler,[],[],Feuerland Spiele
Fields of Arle: New Travel Destination – Arle,[],[],Feuerland Spiele
Fields of Arle: New Travel Destination – Basel,[],[],Feuerland Spiele
Lords of Waterdeep: Rapid Expansion Promo Card,"['Peter Lee', 'Rodney Thompson']",[],Wizards of the Coast
Lords of Waterdeep: Scoundrels of Skullport,"['Chris Dupuis', 'Peter Lee', 'Rodney Thompson']","['Scott Altmann', 'Alex Aparin', 'Ralph Beisner', 'Zoltan Boros']",Wizards of the Coast
Lords of Waterdeep: Inevitable Betrayal Promo Card,"['Peter Lee', 'Rodney Thompson']",[],Wizards of the Coast
Root: The Exiles and Partisans Deck,['Cole Wehrle'],['Kyle Ferrin'],Leder Games
Root: The Underworld Expansion,"['Patrick Leder', 'Cole Wehrle']",['Kyle Ferrin'],Leder Games
Root: The Riverfolk Expansion,['Cole Wehrle'],['Kyle Ferrin'],2Tomatoes
Rising Sun: Stronghold Pack,[],[],Cool Mini Or Not
Raging Sun (fan expansion to Rising Sun),['Michael Gallo'],[],(Web published)
Rising Sun: Daimyo Box,['Eric M. Lang'],['Adrian Smith'],CMON Limited
Rising Sun: Dynasty Invasion,['Eric M. Lang'],['Adrian Smith'],CMON Limited
Rising Sun: Kami Unbound,['Eric M. Lang'],['Adrian Smith'],CMON Limited
Rising Sun: Monster Pack,['Eric M. Lang'],['Adrian Smith'],CMON Limited
Twilight Imperium (Third Edition): Shards of the Throne,"['Corey Konieczka', 'Christian T. Petersen']","['Tom Garden', 'Mark Molnar', 'Scott Schomburg']",Fantasy Flight Games
Twilight Imperium (Third Edition): Shattered Empire,"['Corey Konieczka', 'Christian T. Petersen']","['James Brady', 'Scott Schomburg', 'Brian Schomburg']",Fantasy Flight Games
Five Tribes: Galbells,[],[],Days of Wonder
Five Tribes: Whims of the Sultan,['Bruno Cathala'],"['Cyrille Daujean', 'Clément Masson']",Days of Wonder
Five Tribes: The Thieves of Naqala,['Bruno Cathala'],['Clément Masson'],Days of Wonder
Five Tribes: The Artisans of Naqala,['Bruno Cathala'],"['Cyrille Daujean', 'Clément Masson']",Asterion Press
Five Tribes: Wilwit,['Bruno Cathala'],['Clément Masson'],Days of Wonder
Five Tribes: Dhenim,['Bruno Cathala'],['Clément Masson'],Days of Wonder
Eldritch Horror: Masks of Nyarlathotep,"['Dane Beltrami', 'Tim Uren', 'Nikki Valens']",['Jacob Murray'],Edge Entertainment
Eldritch Horror: Cities in Ruin,['Nikki Valens'],['Cristi Balanescu'],Edge Entertainment
Eldritch Horror: The Dreamlands,"['Corey Konieczka', 'Nikki Valens']",['Jake Murray'],Arclight
Eldritch Horror: Signs of Carcosa,"['Corey Konieczka', 'Nikki Valens']",['Cristi Balanescu'],Edge Entertainment
Eldritch Horror: Strange Remnants,['Nikki Valens'],"['Clark Huggins', 'Stephen Somers', 'Matthew Starbuck']",Arclight
Eldritch Horror: Under the Pyramids,['Nikki Valens'],['Jake Murray'],Edge Entertainment
Eldritch Horror: Forsaken Lore,['Nikki Valens'],"['Anders Finér', 'Magali Villeneuve']",ADC Blackfire Entertainment
Eldritch Horror: Mountains of Madness,['Nikki Valens'],['Jake Murray'],Arclight
The El Grande Expansions,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Rio Grande Games
El Grande: Grandissimo,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Hans im Glück
El Grande: König & Intrigant – Player's Edition,"['Dirk Geilenkeuser', 'Klaus Geis', 'Marwin Geuß', 'Thomas Harms']",['Doris Matthäus'],Hans im Glück
El Grande: Grossinquisitor und Kolonien,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Hans im Glück
El Grande: König & Intrigant,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Hans im Glück
El Grande: König & Intrigant – Unverkäufliche Sonderkarten,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Hans im Glück
Brettspiel Adventskalender 2018,[],['Doris Matthäus'],Frosted Games
Codenames: Bonuskaarten 2018,['Vlaada Chvátil'],"['Stéphane Ganthiez', 'Tomáš Kučerovský']",White Goblin Games
Codenames: Cartes promo – Univers Geek,['Vlaada Chvátil'],[],IELLO
Tajniacy: Obcy Agenci,['Vlaada Chvátil'],[],Rebel
Codenames: Bonus Pack – Board Gaming (English),['Vlaada Chvátil'],[],Czech Games Edition
Fedőnevek: Magyar bónusz csomag,[],[],Gém Klub Kft.
Tajniacy: Nowi Agenci,['Vlaada Chvátil'],[],Rebel
Tajniacy: Sami Nieswoi,['Vlaada Chvátil'],[],Rebel
Codenames: Authors & Games,['Vlaada Chvátil'],[],Czech Games Edition
Codenames: Bonus Pack – Board Gaming (German),[],[],Czech Games Edition
Clank! Legacy: Acquisitions Incorporated – Upper Management Pack,['Andy Clautice'],[],Dire Wolf Digital
Clank! Expeditions: Gold and Silk,['Tim McKnight'],"['Raul Ramos', 'Jon Schindehette', 'Nate Storm']",Dire Wolf Digital
Clank!: Expedition Leader,['Paul Dennen'],[],Renegade Game Studios
Clank!: The Mummy's Curse,['Andy Clautice'],"['Rayph Beisner', 'Derek Herring', 'Levi Parker', 'Raul Ramos', 'Nate Storm']",Dire Wolf Digital
Clank!: Wand of Time,[],[],Renegade Game Studios
Brettspiel Adventskalender 2017,[],['Dennis Lohausen'],Frosted Games
Clank!: Brawn vs. Boots,['Paul Dennen'],"['Rayph Beisner', 'Raul Ramos', 'Nate Storm']",Conclave Editora
Clank!: Enchanted Dice,['Paul Dennen'],"['Rayph Beisner', 'Raul Ramos', 'Nate Storm']",Conclave Editora
Clank!: Friendly Watcher,['Paul Dennen'],"['Rayph Beisner', 'Raul Ramos', 'Nate Storm']",Conclave Editora
Clank!: Magic Spectacles,['Paul Dennen'],"['Rayph Beisner', 'Raul Ramos', 'Nate Storm']",Conclave Editora
Dominion: Renaissance,['Donald X. Vaccarino'],[],Rio Grande Games
Dominion: Dismantle Promo Card,['Donald X. Vaccarino'],['Elisa Cella'],999 Games
Dominion: Erweiterung – Basisspiel & Die Intrige,['Donald X. Vaccarino'],[],Rio Grande Games
Dominion: Nocturne,['Donald X. Vaccarino'],['Garret DeChellis'],999 Games
Pirate's Life (Fan Expansion to Dominion),[],[],(Self-Published)
Dominion: Empires,['Donald X. Vaccarino'],"['Brian Brinlee', 'Matthias Catrein', 'Elisa Cella', 'Donald Crank']",Rio Grande Games
Dominion: Höflinge Promo Card,['Donald X. Vaccarino'],['Claus Stephan'],Rio Grande Games
Dominion: Intrigue Update Pack,['Donald X. Vaccarino'],[],Rio Grande Games
Dominion: Sauna / Avanto Promo Card,['Donald X. Vaccarino'],['Ossi Hiekkala'],ASS Altenburger Spielkarten
Dominion: Adventures,['Donald X. Vaccarino'],"['Brian Brinlee', 'Eric J. Carter', 'Matthias Catrein', 'Jessica Cox']",Rio Grande Games
Patchwork: Automa,"['Lines J. Hutter', 'Morten Monrad Pedersen']",['Klemens Franz'],Lookout Games
Patchwork: 5x5 Bonuskarte,[],[],Lookout Games
Special Buttons (fan-expansion for Patchwork),[],[],(Web published)
The Gallerist: Scoring Expansion,['Vital Lacerda'],"[""Ian O'Toole""]",Eagle-Gryphon Games
The Gallerist: KS Stretch Goal Pack #2,['Vital Lacerda'],"[""Ian O'Toole""]",Eagle-Gryphon Games
Deutscher Spielepreis 2016 Goodie Box,['(Uncredited)'],[],Frosted Games
Mombasa: Cooked Books Mini Expansion,['Alexander Pfister'],['Klemens Franz'],eggertspiele
Mombasa: E1/E2 Company Track,['Alexander Pfister'],['Klemens Franz'],eggertspiele
Battlestar Galactica: The Board Game – Daybreak Expansion,"['James Kniffen', 'Tim Uren']","['Taylor Ingvarsson', 'Henning Ludvigsen']",Fantasy Flight Games
Battlestar Galactica: The Board Game – Exodus Expansion,"['Corey Konieczka', 'Tim Uren']",[],Fantasy Flight Games
Battlestar Galactica: The Board Game – Pegasus Expansion,"['Daniel Clark (I)', 'Corey Konieczka', 'Tim Uren']","['Andrew Navaro', 'Zoe Robinson', 'Brian Schomburg']",Fantasy Flight Games
Battlestar Galactica: Official Variant Rules,['Corey Konieczka'],[],Edge Entertainment
Roll for the Galaxy: Rivalry,"['Wei-Hwa Huang', 'Thomas Lehmann']","['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki']",Rio Grande Games
Roll for the Galaxy: Bountiful Gaming Grid Promo Tile,"['Wei-Hwa Huang', 'Thomas Lehmann']",[],Rio Grande Games
Roll for the Galaxy: Terraforming Colony/Diversified Economy Promo Tile,"['Wei-Hwa Huang', 'Thomas Lehmann']","['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki']",Crowd Games
Roll for the Galaxy: Ambition,"['Wei-Hwa Huang', 'Thomas Lehmann']","['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki']",Rio Grande Games
Troyes: The Ladies of Troyes,"['Sébastien Dujardin', 'Xavier Georges', 'Alain Orban']",['Alexandre Roche'],Pearl Games
Troyes: Bonus Cards,"['Sébastien Dujardin', 'Xavier Georges', 'Alain Orban']",['Alexandre Roche'],Pearl Games
Sherlock Holmes Consulting Detective: Murder Behind Closed Doors,['Stefano Adriani'],[],(Web published)
Sherlock Holmes Détective Conseil: L'Homme Sans Visage,['Cédric Lapouge'],['Arnaud Demaegd'],Ystari Games
Sherlock Holmes Détective Conseil: Les Masques Africains,['Stéphane Anquetil'],"['Arnaud Demaegd', 'Neriac']",Ystari Games
L'affaire Diavolo (Fan expansion for Sherlock Holmes Détective Conseil),['Yann Gentil'],[],(Web published)
Sherlock Holmes Consulente Investigativo: Il Mistero dell'Impiccato,['Yann Gentil'],[],(Web published)
Sherlock Holmes Détective Conseil: La Piste Tordue,"['Raymond Edwards', 'Suzanne Goldberg', 'Gary Grady']","['Arnaud Demaegd', 'Neriac']",Asterion Press
Sherlock Holmes Détective Conseil: La rançon du diable,['Thomas Cauët'],"['Arnaud Demaegd', 'Neriac']",Asterion Press
Sherlock Holmes Détective Conseil: Octobre 1891,['Jean Millemann'],[],(Web published)
Sherlock Holmes Détective Conseil: Oliver Stone,['Jean Millemann'],[],Role Mag'
Sherlock Holmes Consulting Detective: Adventures by Gaslight,"['Jacques Thiriat', 'Nadine Thiriat']",[],Descartes Editeur
Antic (fan expansion for T.I.M.E Stories),['Vahnin Konstantin'],['Vahnin Konstantin'],(Web published)
T.I.M.E Stories: Madame,"['Fabien Riffaud', 'Juan Rodriguez']","['John Mac Cambridge', 'Pascal Quidault']",Space Cowboys
T.I.M.E. Stories Revolution: The Hadal Project,"['Kevin Delp', 'Melissa Delp']",[],Space Cowboys
La Cavale des Daltons (fan expansion for T.I.M.E Stories),['Astanda'],[],(Web published)
City of Souls (fan expansion for T.I.M.E Stories),['Stephanie Pearce'],['Stephanie Pearce'],(Web published)
Dilemma (fan expansion for T.I.M.E Stories),['Mark Stockton-Pitt'],['Mark Stockton-Pitt'],(Web published)
Dreamland (fan expansion for T.I.M.E Stories),['George Orthwein'],[],(Web published)
Geologists (fan expansion for T.I.M.E Stories),['Vahnin Konstantin'],['Vahnin Konstantin'],(Web published)
Hora fugit facta manent (fan expansion for T.I.M.E. Stories),[],[],(Web published)
La manufacture Lilienfeld (fan expansion for T.I.M.E Stories),[],[],(Unknown)
Russian Railroads: Juri Dreigleisky,"['Helmut Ohley', 'Leonhard ""Lonny"" Orgler']","['Martin Hoffmann', 'Claus Stephan']",Hans im Glück
Russian Railroads: American Railroads,"['Helmut Ohley', 'Leonhard ""Lonny"" Orgler']",['Claus Stephan'],Hans im Glück
Russian Railroads: German Railroads,"['Helmut Ohley', 'Leonhard ""Lonny"" Orgler']","['Martin Hoffmann', 'Claus Stephan']",Filosofia Éditions
Russian Railroads: Mini-Expansion,"['Helmut Ohley', 'Leonhard ""Lonny"" Orgler']",['(Uncredited)'],Hans im Glück
Euphrat & Tigris: Die Zikkurat,['Reiner Knizia'],[],Pegasus Spiele
Star Wars: X-Wing Miniatures Game – Saw's Renegades Expansion Pack,['Jason Little'],[],Asmodee
Star Wars: X-Wing Miniatures Game – TIE Reaper Expansion Pack,['Jason Little'],[],Asmodee
Star Wars: X-Wing Miniatures Game – Alpha-Class Star Wing Expansion Pack,"['Max Brooke', 'Frank Brooks', 'Alex Davy']",[],Asmodee
Star Wars: X-Wing Miniatures Game – Auzituck Gunship Expansion Pack,[],[],Edge Entertainment
Star Wars: X-Wing Miniatures Game – C-ROC Cruiser Expansion Pack,[],[],Edge Entertainment
Star Wars: X-Wing Miniatures Game – Guns for Hire Expansion Pack,[],[],Asmodee
Star Wars: X-Wing Miniatures Game – M12-L Kimogila Fighter Expansion Pack,[],[],Asmodee
Star Wars: X-Wing Miniatures Game – Phantom II Expansion Pack,[],['Grzegorz Bobrowski'],Asmodee
Star Wars: X-Wing Miniatures Game – Resistance Bomber Expansion Pack,[],[],Asmodee
Star Wars: X-Wing Miniatures Game – Scurrg H-6 Bomber Expansion Pack,[],[],Edge Entertainment
