Game,Designers,Artists,Publisher
Fields of Arle,['Uwe Rosenberg'],['Dennis Lohausen'],Feuerland Spiele
Lords of Waterdeep,"['Peter Lee', 'Rodney Thompson']","['Eric Belisle', 'Steven Belledin', 'Zoltan Boros', 'Noah Bradley']",Wizards of the Coast
Root,['Cole Wehrle'],['Kyle Ferrin'],Leder Games
Rising Sun,['Eric M. Lang'],"['Edgar Skomorowski', 'Adrian Smith']",CMON Limited
Twilight Imperium (Third Edition),['Christian T. Petersen'],"['Scott Schomburg', 'Brian Schomburg', 'Tyler Walpole']",Fantasy Flight Games
Five Tribes,['Bruno Cathala'],['Clément Masson'],Days of Wonder
Wingspan,['Elizabeth Hargrave'],"['Ana Maria Martinez Jaramillo', 'Natalia Rojas', 'Beth Sobel']",Stonemaier Games
Eldritch Horror,"['Corey Konieczka', 'Nikki Valens']","['Anders Finér', 'David Griffith', 'Ed Mattinian', 'Patrick McEvoy']",Fantasy Flight Games
El Grande,"['Wolfgang Kramer', 'Richard Ulrich']",['Doris Matthäus'],Hans im Glück
Codenames,['Vlaada Chvátil'],"['Stéphane Gantiez', 'Tomáš Kučerovský', 'Filip Murmak']",Czech Games Edition
Clank!: A Deck-Building Adventure,['Paul Dennen'],"['Rayph Beisner', 'Raul Ramos', 'Nate Storm']",Renegade Game Studios
Dominion: Intrigue,['Donald X. Vaccarino'],"['Matthias Catrein', 'Julien Delval', 'Martin Hoffmann', 'Tomasz Jedruszek']",Rio Grande Games
Patchwork,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
The Gallerist,['Vital Lacerda'],"[""Ian O'Toole""]",Eagle-Gryphon Games
Mombasa,['Alexander Pfister'],"['Klemens Franz', 'Andreas Resch']",eggertspiele
Battlestar Galactica: The Board Game,['Corey Konieczka'],"['Kevin Childress', 'Andrew Navaro', 'Brian Schomburg', 'WiL Springer']",Fantasy Flight Games
Roll for the Galaxy,"['Wei-Hwa Huang', 'Thomas Lehmann']","['Martin Hoffmann', 'Claus Stephan', 'Mirko Suzuki']",Rio Grande Games
Troyes,"['Sébastien Dujardin', 'Xavier Georges', 'Alain Orban']","['Sébastien Dujardin', 'Xavier Georges', 'Alain Orban', 'Alexandre Roche']",Pearl Games
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,"['Raymond Edwards', 'Suzanne Goldberg', 'Gary Grady']","['Bernard Bittler', 'Arnaud Demaegd', 'Nils Gulliksson', 'Neriac']",Sleuth Publications
T.I.M.E Stories,"['Peggy Chassenet', 'Manuel Rozoy']","['Ben Carre', 'David Lecossu', 'Pascal Quidault']",Space Cowboys
Russian Railroads,"['Helmut Ohley', 'Leonhard ""Lonny"" Orgler']","['Martin Hoffmann', 'Claus Stephan']",Hans im Glück
Tigris & Euphrates,['Reiner Knizia'],"['Bascu', 'Christine Conrad', 'Doris Matthäus', 'Tom Thiel']",Hans im Glück
Trajan,['Stefan Feld'],['Jo Hartwig'],Ammonit Spiele
Star Wars: X-Wing Miniatures Game,['Jason Little'],"['Matt Allsopp', 'Sacha Angel Diener', 'Jon Bosco', 'Matt Bradbury']",Fantasy Flight Games
Pandemic,['Matt Leacock'],"['Josh Cappel', 'Christian Hanisch', 'Régis Moulun', 'Chris Quilliams', 'Tom Thiel']","Z-Man Games, Inc."
Dominion,['Donald X. Vaccarino'],"['Matthias Catrein', 'Julien Delval', 'Tomasz Jedruszek', 'Ryan Laukat']",Rio Grande Games
Dead of Winter: A Crossroads Game,"['Jonathan Gilmour', 'Isaac Vega']","['David Richards', 'Fernanda Suárez', 'Peter Wocken']",Plaid Hat Games
Lisboa,['Vital Lacerda'],"[""Ian O'Toole""]",Eagle-Gryphon Games
Crokinole,['(Uncredited)'],[],(Public Domain)
Kemet,"['Jacques Bariot', 'Guillaume Montiage']","['Dimitri Bielak', 'Emile Denis', 'Nicolas Fructus']",Matagot
Pandemic: Iberia,"['Jesús Torres Castro', 'Matt Leacock']","['Atha Kanaani', 'Chris Quilliams']",Asterion Press
Agricola (Revised Edition),['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Descent: Journeys in the Dark (Second Edition),"['Daniel Clark (I)', 'Corey Konieczka', 'Adam Sadler', 'Kevin Wilson']","['Alex Aparin', 'Devon Caddy-Lee', 'Sylvain Decaux', 'Tod Gelle']",Fantasy Flight Games
Forbidden Stars,"['Samuel Bailey', 'James Kniffen', 'Corey Konieczka']",[],Fantasy Flight Games
Stone Age,['Bernd Brunnhofer'],['Michael Menzel'],Hans im Glück
Raiders of the North Sea,['Shem Phillips'],['Mihajlo Dimitrievski'],Garphill Games
Alchemists,['Matúš Kotry'],['David Cochard'],Czech Games Edition
Aeon's End,['Kevin Riley'],"['Gong Studios', 'Scott Hartman']",Action Phase Games
Yokohama,['Hisashi Hayashi'],"['Hisashi Hayashi', 'Adam P. McIver', 'Ryo Nyamo']",OKAZU Brand
Star Realms,"['Robert Dougherty', 'Darwin Kastle']",['Vito Gesualdi'],White Wizard Games
War of the Ring (First Edition),"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['John Howe', 'Matteo Macchi', 'Fabio Maiorana', 'Mizio Mencarini', 'Bob Naismith']",Ares Games
Legendary Encounters: An Alien Deck Building Game,"['Ben Cichoski', 'Daniel Mandel']",[],Upper Deck Entertainment
Champions of Midgard,['Ole Steiness'],['Víctor Pérez Corbella'],Grey Fox Games
Castles of Mad King Ludwig,['Ted Alspach'],"['Keith Curtis', 'Agnieszka Dabrowiecka', 'Ollin Timm']",Bézier Games
Istanbul,['Rüdiger Dorn'],"['Andreas Resch', 'Hans-Georg Schneider']",Pegasus Spiele
A Game of Thrones: The Board Game (Second Edition),['Christian T. Petersen'],"['Tomasz Jedruszek', 'Henning Ludvigsen']",Fantasy Flight Games
The Resistance: Avalon,['Don Eskridge'],"['Luis Francisco', 'George Patsouras', 'Nan Sumana', 'Rafał Szyma']",Indie Boards & Cards
Santorini,['Gord!'],"['Lina Cossette', 'David Forest']",Roxley
Grand Austria Hotel,"['Virginio Gigli', 'Simone Luciani']",['Klemens Franz'],Lookout Games
Architects of the West Kingdom,"['Shem Phillips', 'S J Macdonald']",['Mihajlo Dimitrievski'],Garphill Games
Gloomhaven: Forgotten Circles,"['Isaac Childres', 'Marcel Cwertetschka']","['Alexandr Elichev', 'Josh T. McDowell']",Cephalofair Games
Gloomhaven: Solo Scenarios,['Isaac Childres'],[],Cephalofair Games
Gloomhaven: The End of the World (Promo Scenario),"['Efka Bladukas', 'Isaac Childres']","['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",(Web published)
Terraforming Mars: Gathering of Friends Promo Card,['(Uncredited)'],['(Uncredited)'],Stronghold Games
Terraforming Mars: Turmoil,['Jacob Fryxelius'],['Isaac Fryxelius'],FryxGames
Terraforming Mars: Atmo Collectors Promo Card,['Jacob Fryxelius'],['Isaac Fryxelius'],FryxGames
Terraforming Mars: BGG User-Created Corporation Pack,['(Uncredited)'],['Isaac Fryxelius'],FryxGames
Terraforming Mars: Colonies,"['Jacob Fryxelius', 'Jonathan Fryxelius']",['Isaac Fryxelius'],FryxGames
Terraforming Mars: Jovian Lanterns Promo Card,['Jacob Fryxelius'],"['Isaac Fryxelius', 'Daniel Fryxelius']",FryxGames
Terraforming Mars: Lunar Exports Promo Card,['Jacob Fryxelius'],['Isaac Fryxelius'],FryxGames
Terraforming Mars: Prelude,['Jacob Fryxelius'],['Isaac Fryxelius'],FryxGames
